feature,importance,std
ssc_ant,0.013949454261954274,0.005425545738045767
wl_ant,0.010719637907137907,0.0015720287595287928
mean_freq_ant,0.007811200623700626,0.006563799376299412
spectral_entropy_ago,0.006360446985446994,0.01238955301455305
spectral_entropy_ant,0.0035446985446985603,0.006455301455301494
mean_freq_ago,0.0034403153153153175,0.006143018018018048
e_ant,0.00332726957726957,0.002493936243936229
peak_freq_ago,0.002498917186417182,0.001459416146916148
median_freq_ago,0.0022931826056825978,0.003748484060984081
peak_freq_ant,0.0019772176022175847,0.00010611573111574124
gp_GA_activation_duration,0.001977001039501025,0.00010200103950103179
gp_TA_onset_percent,0.0014566008316008127,0.00020660083160081721
gp_TA_activation_duration,0.0014559511434511286,0.0008309511434511308
gp_GA_peak_percent,0.0012489171864171645,0.00020941614691616373
zcr_ant,0.0011464830214830135,0.001770183645183654
gp_propulsion_phase_duration,0.0011449670824670633,0.0003133662508662649
gp_midstance_estimate,0.0011441008316008083,0.0005191008316008106
mav_ant,0.0010416666666666463,0.0010416666666666797
gp_cycle_count,0.0010401507276507072,0.0004151507276507094
gp_terminal_stance_estimate,0.0009366337491337306,0.0001050329175329323
gp_initial_contact_estimate,0.0009355509355509162,0.0009355509355509162
stiffness,0.0007150900900900975,0.0127984234234234
gp_coactivation_ratio,0.0006254331254331113,0.0010412335412335494
gp_TA_peak_percent,0.0006249999999999922,0.0006250000000000033
gp_GA_offset_percent,0.0004164501039500945,0.00020854989604990323
gp_cycle_quality_score,0.00020811677061676191,2.1656271657065926e-07
gp_stance_duration,0.00020811677061675639,2.165627165762158e-07
gp_GA_to_TA_ratio,0.0002081167706167508,2.1656271658177233e-07
gp_swing_phase_duration,0.00010330041580040031,0.0007283004158003981
median_freq_ant,8.662508662438226e-07,0.0008324670824670865
gp_GA_onset_percent,-2.165627165762158e-07,0.00020811677061675639
gp_TA_offset_percent,-4.331254331413185e-07,0.00041623354123352383
gp_swing_duration,-0.00031185031185032575,0.00031185031185032575
wl_ago,-0.0007244022869022928,0.003849402286902304
iemg_ant,-0.0008363652113652141,0.003746968121968103
ssc_ago,-0.0009385828135828278,0.0019780838530838287
total_power_ant,-0.001040367290367311,0.0002070339570339808
torque,-0.0010433991683991785,0.002706600831600808
zcr_ago,-0.0013515679140679248,0.0011432345807345923
rms_ant,-0.0014581167706167798,0.0012502165627165441
variance_ant,-0.002082250519750528,0.0010427494802494608
e_ago,-0.003545131670131663,0.006871534996534968
rms_ago,-0.003963747401247391,0.009161252598752561
variance_ago,-0.004066831254331249,0.008224835412335374
mav_ago,-0.004585282397782392,0.006456384268884235
total_power_ago,-0.0047925329175329155,0.005624133749133714
iemg_ago,-0.007816614691614682,0.011766718641718594
